ID,Sex,GPA,ReligImp,MissClass,Seat
507,Male,2.3,Not,1,Back
508,Male,3.86,Fairly,1,Back
509,Male,2.25,Very,1,
510,Male,3.49,Not,0,Middle
511,Male,3.25,Fairly,0,Middle
512,Male,3.63,Fairly,0,Front
513,Male,2.8,Not,4,Middle
514,Male,3.2,Not,1,Middle
515,Male,2.92,Not,1,Middle
516,Male,3.11,Fairly,0,Middle
517,Male,3.13,Fairly,0,Back
518,Male,3,Very,0,Middle
519,Male,2.86,Fairly,1,Middle
520,Male,3.2,Very,2,Back
521,Male,4,Not,0,Front
522,Male,3.75,Very,3,Back
523,Male,2.5,Very,4,Middle
524,Male,3.1,Not,1,Middle
525,Male,2.81,Very,0,Middle
526,Male,3.7,Very,0,Front
527,Male,3.2,Fairly,2,Back
528,Male,2.5,Fairly,1,Front
529,Male,2.7,Fairly,1,Middle
530,Male,2.4,Fairly,1,Back
531,Male,3,Not,1,Middle
532,Male,2.5,Not,1,Back
533,Male,3.61,Very,1,Back
534,Male,3,Fairly,0,Back
535,Male,2.5,Not,3,Back
536,Male,3.87,Not,0,Middle
537,Male,3.43,Not,1,Back
538,Male,2.7,Not,1,Middle
539,Male,2.99,Not,1,Back
540,Male,2.25,Not,0,Middle
541,Male,3.21,Fairly,1,Front
542,Male,3.2,Fairly,0,Front
543,Male,3.48,Fairly,2,Middle
544,Male,3.15,Fairly,2,Back
545,Male,3.93,Fairly,0,Middle
546,Male,2.8,Fairly,0,Middle
547,Male,2.7,Fairly,2,Back
548,Male,2.7,Fairly,0,Middle
549,Male,3.39,Fairly,0,Middle
550,Male,3.4,Fairly,2,Back
551,Male,3.79,Not,0,Back
552,Male,3,Fairly,3,Back
553,Male,4,Fairly,1,Back
554,Male,2.67,Fairly,0,Middle
555,Male,3.2,Not,0,Front
556,Male,3.41,Fairly,3,Middle
557,Male,3.09,Very,1,Back
558,Male,2.95,Not,2,Middle
559,Male,3.63,Fairly,1,Middle
560,Male,2.33,Very,2,Back
561,Male,3.75,Very,0,Middle
562,Male,3,Fairly,1,Middle
563,Male,3,Fairly,2,Back
564,Male,3.98,Not,0,Middle
565,Male,1.79,Not,0,Middle
566,Male,3.32,Fairly,2,Middle
567,Male,2.6,Fairly,1,Front
568,Male,3.42,Fairly,2,Middle
569,Male,2.97,Very,0.5,Front
570,Male,3.02,Very,0,Middle
571,Male,3.09,Very,2,Middle
572,Male,4,Not,0,Front
573,Male,2.3,Fairly,1,Back
574,Male,2.71,Very,0,Middle
575,Male,2.75,Fairly,0,Middle
576,Male,3.7,Very,1,Front
577,Male,3.6,Fairly,0,Middle
578,Male,3,Fairly,3,Middle
579,Male,2.8,Not,2,Front
580,Male,3.2,Not,5,Back
581,Male,2.5,Very,0,Middle
582,Male,3.04,Not,2,Middle
583,Male,3.3,Fairly,3,Middle
584,Male,2.17,Very,4,Back
585,Male,3.21,Very,2,Middle
586,Male,3.07,Not,1,Front
587,Male,3.15,Not,2,Middle
588,Male,3.36,Not,0,Middle
589,Male,2.99,Not,2,Middle
590,Male,3,Not,2,Middle
591,Male,2,Not,4,Back
592,Male,3.24,Not,2,Front
593,Male,3.2,Not,1,Front
594,Male,2.91,Not,1,Back
595,Male,3.58,Not,0,Back
596,Male,3.7,Not,1,Middle
597,Male,3.38,Fairly,0,Middle
598,Male,3.13,Very,3,Front
599,Male,3.1,Not,0,Middle
600,Male,3.64,Fairly,0,Front
601,Male,3.09,Very,0,Front
602,Male,3.19,Not,5,Back
603,Male,2.66,Fairly,1,Middle
604,Male,2.68,Very,1,Front
605,Male,2.5,Very,1,Middle
606,Male,3.41,Very,0,Middle
607,Male,2.9,Fairly,2,Middle
608,Male,2.8,Fairly,2,Middle
609,Male,3.51,Very,0,Front
610,Male,3.5,Not,4,Middle
611,Male,3.6,Very,0,Front
612,Male,3.25,Not,2,Back
613,Male,2.18,Not,1,Middle
614,Male,3.03,Not,1,Middle
615,Male,3.36,Very,0,Middle
616,Male,3.88,Fairly,0,Middle
617,Male,2.92,Fairly,2,Front
618,Male,3.01,Fairly,0,Middle
619,Male,3.43,Not,0,Middle
620,Male,3.65,Fairly,2,Back
621,Male,3.59,Not,0,Back
622,Male,3.33,Fairly,1,Middle
623,Male,3.6,Fairly,1,Middle
624,Male,2.4,Fairly,1,Back
625,Male,3.07,Not,3,Middle
626,Male,3.1,Fairly,3,Back
627,Male,3,Not,0,Middle
628,Male,3.71,Fairly,0,Middle
629,Male,3.8,Fairly,1,Middle
630,Male,3,Fairly,2,Back
631,Male,3.6,Not,0,Middle
632,Male,3.55,Not,1,Middle
633,Male,3.1,Fairly,0,Middle
634,Male,3.24,Fairly,0,Middle
635,Male,2.9,Not,3,Back
636,Male,2.67,Not,1,Front
637,Male,2.8,Not,1,Middle
638,Male,3.2,Not,0,Front
639,Male,3.42,Not,1.5,Middle
640,Male,2.8,Very,3,Back
641,Male,3,Not,0,Middle
642,Male,3.2,Very,1,Middle
643,Male,3.36,Fairly,2,Middle
644,Male,3.19,Very,1,Middle
645,Male,2.7,Not,2,Back
646,Male,3.07,Fairly,0,Back
647,Male,3.47,Not,2,Middle
648,Male,3.33,Not,2,Middle
649,Male,2.7,Not,2,Middle
650,Male,2.91,Not,1,Middle
651,Male,2.8,Not,1,Back
652,Male,3.65,Fairly,2,Middle
653,Male,2.84,Fairly,1,Front
654,Male,3.45,Fairly,2,Middle
655,Male,2.9,Fairly,0,Middle
656,Male,3,Fairly,2,Middle
657,Male,3.85,Not,2,Middle
658,Male,3.17,Not,2,Middle
659,Male,3.1,Very,6,Middle
660,Male,3.53,Fairly,0,Middle
661,Male,2.8,Not,0,Middle
662,Male,2.7,Fairly,0,Middle
663,Male,2.1,Fairly,2,Middle
664,Male,3.07,Fairly,0,Middle
665,Male,3.4,Very,1,Middle
666,Male,3.4,Fairly,2,Middle
667,Male,3.55,Not,0,Middle
668,Male,3.6,Not,1,Middle
669,Male,3.1,Fairly,1,Middle
670,Male,3.68,Fairly,1,Middle
671,Male,2.85,Fairly,0,Middle
672,Male,2.95,Not,1,Back
673,Male,3.3,Not,1,Middle
674,Male,3.5,Very,1,Middle
675,Male,3.44,Not,0,Front
676,Male,2.7,Fairly,0,Middle
677,Male,3.04,Fairly,0,Front
678,Male,3.4,Very,0,Back
679,Male,3,Very,0,Front
680,Male,2.96,Not,1,Back
681,Male,2.99,Fairly,1,Middle
682,Male,3.6,Fairly,0,Front
683,Male,3.25,Fairly,0,Front
684,Male,2.98,Fairly,2,Front
685,Male,2.65,Not,1,Back
686,Male,3.08,Not,0,Middle
687,Male,3.3,Not,1,Front
688,Male,3.75,Fairly,1,Front
689,Male,2.9,Not,1,Middle
690,Male,2.5,Fairly,0,Middle
